N1;N2;N3;N4;N5;E1;E2;HasWin
23;18;33;37;9;1;8;1
14;25;36;5;22;6;5;1
40;16;3;19;18;2;1;1
20;7;38;40;43;8;1;1
7;18;34;35;40;7;8;1
36;47;21;32;46;3;4;1
20;27;35;44;11;5;2;1
22;34;44;30;35;4;5;1
35;37;17;1;32;8;1;1
33;29;5;9;11;7;9;1
42;3;34;2;33;5;3;1
22;37;23;18;6;6;5;1
16;3;42;1;48;2;3;1
2;13;42;3;38;7;8;1
40;43;49;42;23;6;2;1
41;33;37;30;10;1;8;1
4;29;21;1;41;8;7;1
50;26;10;21;25;9;4;1
13;9;31;15;48;6;3;1
39;41;4;19;5;9;8;1
28;8;33;45;12;1;3;1
22;17;16;11;34;5;6;1
5;14;40;7;21;3;8;1
15;17;25;45;1;8;2;1
22;41;42;37;6;6;9;1
49;26;50;29;25;8;7;1
49;37;34;26;39;2;6;1
12;26;49;7;29;6;2;1
17;41;35;6;45;1;5;1
44;18;7;36;27;1;2;1
41;26;32;45;23;3;7;1
20;41;38;7;25;3;7;1
41;48;29;23;15;6;3;1
19;9;46;17;41;1;8;1
43;17;5;40;13;3;1;1
45;4;31;49;14;9;4;1
43;25;3;2;48;9;6;1
3;16;48;34;38;8;5;1
20;2;22;18;15;5;2;1
19;39;20;50;8;6;9;1
36;16;46;30;14;8;2;1
36;14;27;23;30;1;6;1
38;11;23;15;30;4;9;1
27;5;13;33;42;4;2;1
14;8;25;19;11;3;5;1
17;45;36;29;19;6;5;1
44;26;2;1;50;1;7;1
29;50;46;28;40;5;7;1
2;19;42;28;49;7;2;1
35;8;21;45;4;5;8;1
8;25;11;41;16;4;2;1
50;49;21;9;14;8;3;1
14;26;10;8;21;4;3;1
9;1;17;12;18;3;4;1
34;25;3;41;18;5;2;1
45;7;15;16;17;6;9;1
50;12;10;3;42;1;5;1
15;31;22;4;41;6;1;1
4;38;13;19;23;2;3;1
31;29;33;14;37;2;1;1
14;16;19;31;20;9;6;1
23;33;37;19;50;7;3;1
17;12;39;16;7;3;8;1
2;20;37;25;39;8;5;1
50;27;29;39;7;7;5;1
18;11;17;26;31;6;5;1
15;5;16;45;4;7;4;1
25;40;22;50;1;1;8;1
29;7;15;24;11;7;2;1
16;14;44;10;29;6;5;1
37;19;11;13;9;3;4;1
19;22;48;7;27;7;5;1
20;44;5;50;26;5;7;1
11;8;36;37;45;3;5;1
16;37;44;50;13;9;1;1
21;40;19;50;7;2;9;1
14;20;49;7;5;8;2;1
5;38;9;19;21;1;7;1
6;38;9;25;15;4;9;1
8;9;42;40;45;7;6;1
26;48;45;37;2;8;4;1
4;30;26;19;27;8;3;1
27;6;7;50;3;5;9;1
50;30;25;45;6;5;7;1
18;37;47;13;11;6;1;1
39;9;29;5;17;3;6;1
10;2;22;18;36;6;4;1
13;48;35;21;25;4;8;1
14;17;7;35;2;6;1;1
37;47;49;40;12;9;2;1
46;50;4;27;32;8;9;1
27;45;12;29;46;7;4;1
17;38;28;44;30;1;4;1
30;49;45;47;22;4;9;1
2;19;9;45;6;7;8;1
46;40;16;14;23;8;4;1
24;36;50;8;49;4;8;1
41;24;10;12;25;3;5;1
4;17;5;34;14;5;3;1
49;30;35;32;14;8;3;1
41;43;44;46;20;2;9;1
25;30;19;18;44;3;1;1
33;15;13;5;8;8;9;1
47;9;28;5;43;2;9;1
15;25;32;26;13;4;3;1
19;43;45;34;11;5;9;1
35;9;33;38;40;6;2;1
20;6;18;29;31;8;2;1
23;30;31;47;12;3;4;1
29;11;46;7;50;4;7;1
44;29;24;23;22;5;1;1
6;21;18;17;34;9;3;1
30;16;41;38;6;2;4;1
42;15;12;35;43;6;4;1
20;39;6;9;38;9;3;1
37;41;49;36;8;7;5;1
16;42;31;7;4;5;3;1
30;5;8;49;24;9;3;1
22;10;31;24;20;7;2;1
26;9;20;21;5;6;3;1
15;47;35;25;14;9;5;1
17;50;8;2;32;3;7;1
42;20;6;16;46;1;6;1
29;47;46;34;21;6;8;1
21;6;11;39;30;8;2;1
20;17;16;4;29;7;5;1
50;14;6;16;34;6;4;1
35;19;40;26;11;2;5;1
30;47;2;37;5;6;3;1
43;4;14;33;13;6;1;1
19;8;42;18;20;5;9;1
4;29;23;31;24;9;8;1
38;47;31;19;5;3;5;1
21;4;24;14;41;5;8;1
7;4;21;44;47;1;5;1
37;14;9;46;16;2;4;1
46;24;32;20;2;1;9;1
25;42;36;33;38;6;7;1
31;12;35;23;16;4;6;1
36;42;26;12;24;1;4;1
13;35;25;17;19;5;6;1
9;44;5;37;45;9;6;1
13;48;9;12;14;1;2;1
33;36;40;22;42;1;2;1
36;30;20;40;10;3;5;1
4;34;35;46;29;5;8;1
36;49;33;40;32;2;8;1
50;22;17;3;49;3;6;1
22;7;15;28;48;4;1;1
48;30;29;37;36;1;6;1
2;24;43;38;34;1;7;1
46;19;42;36;38;8;2;1
3;35;29;42;20;3;8;1
46;2;10;3;33;8;7;1
28;32;46;8;19;4;7;1
9;41;36;49;28;7;5;1
36;12;15;45;32;9;7;1
23;47;7;19;29;6;1;1
21;23;33;50;40;5;4;1
32;22;16;42;20;8;9;1
39;5;11;9;4;3;5;1
38;31;2;36;43;7;3;1
46;35;39;30;9;6;8;1
4;27;6;48;1;1;6;1
1;16;48;4;40;1;9;1
50;27;38;17;29;3;1;1
35;41;21;45;17;5;1;1
24;49;47;26;13;4;8;1
13;6;30;1;49;1;9;1
27;31;5;42;40;6;1;1
15;9;47;21;4;7;2;1
42;28;13;29;25;4;5;1
39;11;3;4;28;8;2;1
4;13;37;35;46;9;3;1
49;46;45;39;38;7;8;1
37;9;49;24;39;3;9;1
46;41;36;13;12;8;1;1
18;1;8;28;31;9;8;1
2;29;31;38;32;4;1;1
44;2;36;22;24;2;1;1
34;42;17;40;4;9;4;1
9;31;32;33;4;3;7;1
38;19;50;7;30;4;7;1
17;31;43;47;1;3;2;1
15;21;6;3;32;7;9;1
6;36;22;25;24;3;8;1
46;3;7;8;43;6;8;1
17;11;26;40;9;9;3;1
44;23;24;21;7;3;4;1
26;18;12;24;45;5;4;1
18;37;8;16;43;2;6;1
38;28;30;39;10;7;2;1
46;1;26;36;33;7;6;1
19;18;49;12;43;9;3;1
42;11;29;7;18;7;6;1
37;12;38;31;43;3;2;1
5;45;1;38;18;6;4;1
46;38;34;35;39;3;4;1
39;43;30;17;9;7;5;1
4;44;27;22;36;9;7;1
49;50;26;29;11;4;7;1
44;5;14;4;46;9;8;1
22;24;27;36;9;7;5;1
36;44;43;16;50;8;7;1
26;21;25;19;44;7;3;1
22;7;24;28;21;1;11;1
14;48;1;9;12;7;1;1
10;2;23;31;5;5;2;1
12;37;18;33;7;1;11;1
21;12;47;44;29;2;1;1
34;21;20;38;19;9;3;1
27;40;7;43;30;9;8;1
25;50;11;45;41;7;2;1
34;14;26;19;28;5;8;1
16;40;38;24;18;2;4;1
39;44;24;4;12;2;4;1
47;17;22;6;45;3;11;1
30;18;1;4;23;3;7;1
40;15;4;29;1;1;5;1
41;50;11;43;14;9;2;1
20;45;23;14;46;1;11;1
39;16;20;17;50;4;8;1
39;28;22;12;27;4;10;1
37;19;2;33;46;5;8;1
46;18;37;48;23;2;10;1
47;23;12;29;32;3;5;1
12;16;4;1;48;9;10;1
42;34;18;38;26;8;5;1
14;16;23;45;38;8;11;1
28;15;44;31;5;1;6;1
28;18;40;27;35;3;5;1
6;33;48;14;34;6;2;1
25;38;19;9;36;11;7;1
39;2;42;17;8;3;10;1
28;32;49;9;30;9;10;1
21;5;34;31;28;2;1;1
42;35;50;48;47;9;8;1
37;12;26;38;44;4;7;1
46;8;2;10;19;5;9;1
25;45;22;33;12;5;7;1
42;50;6;14;4;2;4;1
16;6;31;28;14;11;2;1
45;18;1;13;17;8;3;1
7;20;37;10;27;7;4;1
36;24;34;7;23;11;8;1
34;32;18;14;13;1;10;1
8;33;14;24;5;8;3;1
37;38;19;27;12;5;10;1
5;1;25;48;22;11;3;1
4;50;15;49;23;2;6;1
16;3;25;35;26;5;9;1
26;6;33;39;34;3;4;1
19;17;42;45;38;9;10;1
12;13;40;49;23;7;10;1
28;47;29;11;49;5;1;1
11;23;31;8;46;9;8;1
16;15;44;30;50;3;2;1
41;20;5;30;16;11;6;1
49;50;20;17;35;4;3;1
11;22;21;16;44;8;3;1
41;19;48;5;12;8;10;1
37;20;3;48;19;8;11;1
25;38;40;6;36;10;4;1
49;40;50;39;4;2;5;1
22;9;10;50;1;11;5;1
28;9;49;25;17;9;8;1
16;23;24;29;26;2;9;1
42;25;10;20;14;8;11;1
37;20;21;45;46;3;2;1
17;47;11;36;9;2;1;1
28;3;45;10;15;7;5;1
28;16;20;22;11;4;9;1
38;40;25;15;41;1;2;1
22;45;48;11;36;1;4;1
4;41;6;21;39;2;6;1
21;47;23;38;50;6;2;1
17;33;22;21;4;4;8;1
12;21;6;33;27;7;3;1
50;13;26;1;20;7;6;1
17;24;37;19;46;2;7;1
28;41;25;11;27;8;5;1
42;45;13;48;12;3;9;1
45;3;49;15;2;9;5;1
15;14;12;19;23;7;8;1
47;35;11;2;24;5;9;1
41;24;23;42;13;5;1;1
21;11;13;3;18;5;4;1
44;2;24;14;39;7;6;1
32;22;1;48;50;7;6;1
26;49;27;24;17;3;5;1
14;20;32;23;18;3;10;1
40;5;3;42;22;3;10;1
35;14;44;18;20;5;2;1
40;29;11;43;10;11;3;1
50;4;9;1;43;6;8;1
10;18;31;42;16;2;5;1
29;5;28;44;10;2;4;1
18;23;40;24;10;3;4;1
49;44;6;10;23;7;1;1
11;20;40;9;1;5;1;1
42;28;45;30;49;10;5;1
15;19;41;23;10;2;9;1
11;16;21;24;29;2;6;1
47;28;14;21;22;5;4;1
35;25;20;41;7;1;9;1
6;10;3;44;11;3;4;1
23;44;25;24;31;2;3;1
9;5;6;38;27;5;11;1
1;35;38;50;28;2;10;1
16;40;44;37;29;8;10;1
41;10;40;49;32;2;8;1
35;7;17;43;6;2;8;1
23;8;10;25;2;8;9;1
19;16;18;21;9;3;2;1
16;42;21;36;4;8;7;1
20;26;30;33;23;6;9;1
7;25;27;48;49;1;4;1
41;4;34;43;19;7;11;1
38;7;39;44;6;7;9;1
27;10;44;23;3;9;7;1
15;6;37;22;44;2;4;1
15;35;13;30;42;4;6;1
18;39;17;44;11;10;5;1
31;28;16;48;33;11;7;1
1;26;25;44;18;5;4;1
6;5;19;37;12;7;3;1
17;5;38;4;48;4;3;1
19;25;33;44;28;8;2;1
45;16;42;1;38;9;10;1
50;21;17;48;11;9;10;1
20;50;34;46;27;3;2;1
34;35;42;24;46;5;1;1
35;39;4;36;29;9;8;1
15;48;14;23;21;2;10;1
18;25;4;16;44;11;1;1
19;23;10;45;49;9;10;1
24;2;43;7;46;10;8;1
18;46;35;25;8;9;4;1
37;1;24;16;3;8;1;1
40;42;38;31;32;3;1;1
22;7;2;40;27;6;3;1
14;17;28;39;29;11;1;1
11;22;35;20;1;10;8;1
18;14;19;43;49;7;3;1
17;20;50;7;35;5;11;1
48;38;27;22;10;3;7;1
30;26;48;15;8;9;10;1
11;22;5;34;40;9;11;1
13;49;37;47;34;8;9;1
26;2;36;14;4;9;10;1
28;17;25;15;8;3;11;1
35;12;22;49;46;2;8;1
31;32;41;16;37;7;1;1
29;50;43;47;13;9;11;1
13;2;50;11;26;5;2;1
1;17;13;44;38;2;11;1
3;34;48;38;21;5;8;1
26;41;40;39;3;1;2;1
4;15;41;5;19;11;9;1
36;43;30;27;20;1;6;1
8;24;48;43;9;3;5;1
32;41;29;3;6;11;10;1
10;28;49;48;33;10;1;1
8;39;43;13;26;3;5;1
37;27;22;25;36;9;5;1
11;35;45;20;30;2;3;1
1;8;18;25;30;10;9;1
46;17;23;4;36;10;6;1
29;36;27;34;24;7;8;1
50;15;9;23;31;8;11;1
28;30;15;16;46;3;4;1
12;4;50;3;23;4;7;1
47;1;25;10;43;8;9;1
39;36;32;47;3;6;9;1
23;47;27;37;24;6;2;1
44;5;11;6;30;6;2;1
10;48;1;17;33;2;3;1
34;3;12;26;7;10;8;1
11;24;14;25;29;11;7;1
11;4;47;28;38;11;10;1
36;14;42;46;27;11;8;1
3;14;31;41;8;7;11;1
15;3;17;33;28;2;4;1
16;20;19;25;28;1;10;1
43;34;38;9;45;4;2;1
10;19;44;13;39;6;2;1
1;20;6;2;36;11;8;1
10;28;27;2;22;8;6;1
12;44;22;30;31;5;6;1
39;13;21;14;27;8;6;1
9;4;30;10;40;9;2;1
1;6;10;31;12;7;2;1
42;30;45;3;49;5;10;1
29;45;24;20;13;7;3;1
1;22;6;13;28;10;5;1
5;31;43;50;19;6;2;1
13;22;17;43;12;10;3;1
41;6;8;37;27;7;10;1
24;22;23;1;31;6;11;1
49;50;24;6;35;7;1;1
18;31;36;2;1;7;10;1
32;6;29;15;13;2;9;1
10;23;7;2;43;4;7;1
44;27;23;42;19;5;3;1
40;26;13;25;50;8;9;1
45;14;19;36;15;1;10;1
13;42;3;15;29;4;1;1
29;48;40;37;14;11;2;1
35;20;42;43;28;8;10;1
35;38;12;13;6;2;3;1
19;33;29;30;7;3;8;1
32;9;10;30;37;6;2;1
2;31;38;3;10;6;10;1
39;33;29;44;41;9;11;1
25;36;47;46;5;2;6;1
39;18;27;43;47;7;4;1
6;17;23;12;43;5;9;1
23;24;33;42;26;5;3;1
50;35;6;24;20;5;10;1
19;44;48;25;23;9;8;1
11;15;38;41;43;2;6;1
10;20;26;28;43;9;11;1
5;11;35;38;45;2;3;1
13;17;21;42;44;9;11;1
14;27;6;4;33;10;5;1
7;11;14;28;30;2;10;1
11;23;25;32;37;4;7;1
5;18;16;42;9;7;9;1
2;17;25;36;45;5;9;1
7;30;38;40;43;2;6;1
30;37;26;6;1;8;5;1
42;11;50;49;5;8;11;1
20;24;27;37;39;5;10;1
5;20;47;17;50;1;4;1
24;4;23;7;9;9;8;1
17;47;16;49;31;3;11;1
21;36;37;42;48;4;7;1
3;14;4;11;43;1;6;1
12;23;29;38;49;3;4;1
14;15;16;19;44;4;5;1
24;35;13;26;16;5;2;1
50;34;47;19;23;4;6;1
26;42;33;18;32;3;2;1
18;16;38;49;31;10;4;1
28;4;33;12;15;1;10;1
14;13;11;28;30;4;5;1
15;1;47;28;35;7;1;1
4;13;35;27;5;2;1;1
30;11;36;45;10;1;2;1
24;33;17;41;44;11;1;1
41;25;48;10;47;6;10;1
7;9;25;5;41;5;1;1
14;26;45;50;7;2;7;1
34;33;40;31;37;6;1;1
29;43;28;34;27;10;5;1
34;38;13;8;26;3;11;1
22;17;40;7;27;2;3;1
29;19;8;28;7;9;5;1
25;24;50;6;20;9;10;1
24;7;8;36;27;11;5;1
1;32;35;45;48;4;11;1
43;27;13;28;42;4;6;1
5;49;34;3;40;2;3;1
13;50;40;43;36;9;5;1
40;38;16;24;11;2;5;1
50;4;1;7;10;4;11;1
1;46;8;42;48;4;7;1
33;50;22;1;11;4;6;1
28;45;15;5;10;3;9;1
15;44;48;38;35;10;5;1
32;1;17;39;11;7;2;1
17;12;41;29;25;1;4;1
44;30;46;43;13;9;5;1
44;30;26;42;4;6;11;1
27;32;12;34;49;9;8;1
44;32;19;37;35;9;1;1
24;14;39;4;21;10;3;1
50;4;10;2;22;5;8;1
20;42;23;28;3;8;11;1
33;31;19;8;39;7;2;1
1;11;36;29;42;4;5;1
3;12;13;17;30;2;6;1
15;37;36;16;28;2;11;1
28;30;44;12;15;9;8;1
2;4;42;28;22;4;9;1
28;25;5;11;16;7;9;1
14;44;11;34;9;11;10;1
25;6;45;40;31;6;7;1
37;5;34;38;21;1;6;1
9;16;26;36;39;2;6;1
3;10;37;18;31;2;4;1
45;10;48;1;44;4;1;1
39;26;27;30;4;10;3;1
47;42;22;40;38;11;1;1
37;22;29;4;41;7;4;1
22;26;47;2;20;9;5;1
4;10;27;22;41;10;8;1
36;49;2;7;8;11;1;1
6;18;39;50;44;11;8;1
26;45;27;49;17;2;3;1
49;25;9;19;8;10;2;1
39;44;23;29;31;5;8;1
13;7;3;25;12;5;8;1
28;2;15;31;37;4;6;1
31;1;3;42;46;11;4;1
5;8;48;47;37;3;2;1
15;25;3;49;44;9;1;1
10;23;6;41;15;10;4;1
32;7;36;3;25;1;6;1
28;32;7;37;4;5;10;1
3;2;36;38;17;11;4;1
36;32;38;48;17;8;5;1
46;14;36;2;21;11;7;1
32;13;38;46;25;10;1;1
1;13;6;26;17;3;5;1
10;41;13;20;33;9;3;1
45;17;40;10;15;1;2;1
42;20;3;30;9;6;1;1
40;33;27;20;21;3;10;1
49;13;48;1;40;8;10;1
15;23;32;4;5;7;3;1
29;42;47;45;6;9;10;1
38;30;21;9;28;8;1;1
13;23;50;48;4;10;5;1
33;13;15;3;42;5;7;1
46;35;47;13;27;1;2;1
13;35;14;29;12;1;7;1
6;34;8;38;48;9;3;1
4;30;35;50;29;4;2;1
31;9;33;26;13;7;11;1
15;35;19;8;24;10;8;1
18;50;23;46;1;9;3;1
39;45;25;31;5;8;1;1
32;38;26;9;2;3;6;1
36;48;45;10;22;11;4;1
29;17;49;35;4;1;2;1
11;34;47;4;7;7;8;1
4;21;30;5;23;10;8;1
22;19;7;16;33;5;2;1
29;21;35;46;43;1;9;1
5;21;42;7;19;11;5;1
50;44;46;48;24;10;5;1
40;23;35;10;43;9;3;1
10;24;9;12;43;5;9;1
1;43;50;45;24;5;8;1
1;41;43;11;29;3;11;1
18;27;15;34;20;1;3;1
38;35;5;49;22;7;4;1
24;18;22;8;27;11;4;1
47;18;43;39;4;6;2;1
39;25;18;22;27;5;10;1
39;34;45;33;31;2;10;1
20;1;7;21;48;4;7;1
5;38;49;15;25;1;2;1
48;13;37;40;11;8;9;1
16;22;28;46;18;11;9;1
12;18;21;33;32;1;11;1
34;40;25;7;49;9;11;1
2;39;32;15;44;5;10;1
27;41;24;45;5;7;6;1
16;13;26;25;7;1;6;1
31;3;47;8;34;11;9;1
38;5;36;33;47;4;9;1
26;23;37;29;40;4;3;1
47;34;13;30;4;6;2;1
45;28;3;26;21;10;7;1
37;5;19;31;24;9;1;1
30;42;4;31;38;11;2;1
35;26;18;23;44;3;11;1
13;49;44;21;24;9;1;1
20;46;15;24;13;8;1;1
21;47;31;39;24;3;7;1
14;50;47;26;3;7;11;1
8;33;30;12;19;4;11;1
42;11;29;18;49;11;4;1
50;45;28;6;10;10;11;1
44;38;18;16;26;10;8;1
3;43;19;28;4;3;7;1
28;50;26;7;20;8;2;1
37;7;39;30;42;7;5;1
27;36;34;8;39;5;10;1
30;24;6;27;25;9;5;1
1;4;44;33;23;8;7;1
38;10;40;5;41;1;8;1
3;22;5;27;44;6;1;1
38;44;32;12;43;2;7;1
42;21;25;28;35;6;4;1
28;13;17;30;32;5;7;1
36;37;26;23;49;6;7;1
19;39;4;2;6;2;7;1
47;25;8;17;41;1;2;1
17;19;47;3;46;9;10;1
37;1;33;21;38;8;4;1
10;15;31;8;16;8;9;1
18;23;48;20;42;2;9;1
19;41;35;34;5;1;5;1
4;42;35;48;12;5;8;1
26;19;33;42;32;10;4;1
25;18;20;26;37;11;10;1
1;27;2;11;29;10;1;1
2;45;20;27;33;6;10;1
3;44;27;38;31;3;8;1
5;36;32;31;20;6;7;1
10;27;40;3;25;9;3;1
19;41;18;40;20;7;10;1
22;6;26;29;48;5;6;1
11;27;35;8;23;4;11;1
43;5;21;3;40;11;6;1
48;29;12;38;17;9;11;1
17;27;18;39;8;7;1;1
35;15;45;25;2;10;8;1
50;16;30;37;29;6;8;1
26;14;17;9;16;10;11;1
34;49;30;46;4;8;7;1
6;37;23;38;7;11;10;1
33;10;18;40;17;8;2;1
43;39;13;6;18;2;8;1
26;40;38;17;3;4;10;1
39;27;49;8;46;2;6;1
8;13;17;21;34;6;7;1
11;20;25;36;12;9;6;1
25;7;32;39;30;2;8;1
21;19;30;45;17;8;10;1
28;43;7;48;29;3;10;1
26;15;12;47;29;11;3;1
43;42;47;40;1;9;11;1
22;32;29;11;20;1;8;1
21;35;7;32;18;11;2;1
14;49;26;11;29;3;9;1
14;37;30;13;23;8;2;1
27;14;23;29;26;7;10;1
39;34;33;7;29;8;7;1
44;8;15;17;49;5;8;1
19;50;10;29;18;9;1;1
42;14;40;39;16;1;4;1
27;8;45;9;50;8;10;1
6;27;45;19;21;8;1;1
11;34;30;29;31;4;7;1
31;33;50;27;42;5;2;1
47;4;16;18;43;10;6;1
7;10;19;12;11;2;9;1
45;4;44;7;39;3;5;1
2;16;3;15;8;4;11;1
1;5;21;44;39;4;11;1
50;15;39;10;45;10;9;1
34;21;16;50;40;6;9;1
36;23;49;43;32;8;7;1
21;46;2;9;35;2;11;1
14;29;44;27;20;10;7;1
21;48;22;1;43;9;7;1
34;18;36;19;6;1;8;1
35;8;15;5;41;5;4;1
7;41;33;18;6;10;3;1
11;18;44;15;12;3;9;1
11;28;15;34;37;1;8;1
10;19;6;3;24;5;7;1
16;38;4;22;49;6;9;1
7;14;20;31;42;9;3;1
15;10;36;16;37;3;9;1
11;10;37;5;8;9;7;1
5;34;17;9;32;8;6;1
8;7;2;48;45;9;1;1
23;7;41;29;37;1;8;1
3;4;20;45;48;6;8;1
6;24;7;21;5;6;5;1
18;44;35;24;45;5;11;1
35;37;31;26;30;11;8;1
47;42;44;5;35;9;8;1
29;30;14;46;40;3;6;1
14;19;49;7;47;10;3;1
1;17;10;42;20;9;8;1
19;26;20;25;3;6;10;1
36;24;28;26;45;10;7;1
31;5;40;29;19;3;10;1
14;42;17;6;45;8;1;1
39;2;34;24;30;11;8;1
49;34;32;24;35;2;1;1
25;43;22;23;30;5;9;1
39;25;50;44;18;8;5;1
39;37;49;29;27;4;2;1
8;28;20;24;49;8;9;1
30;39;32;44;2;10;6;1
40;10;39;24;26;3;10;1
3;14;42;48;37;1;10;1
11;23;44;38;26;8;1;1
4;5;22;18;23;3;1;1
31;30;2;6;23;10;2;1
47;30;49;50;23;7;2;1
6;21;13;8;11;8;7;1
17;25;14;5;47;10;9;1
3;28;25;34;50;1;11;1
37;46;10;4;14;4;7;1
5;2;18;43;30;10;1;1
24;12;39;44;42;3;11;1
30;45;20;13;17;9;10;1
50;30;10;26;39;8;7;1
50;44;17;31;33;11;7;1
9;24;15;13;19;3;8;1
10;33;5;31;40;10;8;1
30;45;29;38;6;8;1;1
33;47;15;41;44;10;8;1
34;32;29;30;46;6;3;1
34;31;21;8;17;10;9;1
6;32;45;21;24;1;11;1
20;38;30;14;49;4;3;1
24;25;49;28;22;3;6;1
8;10;22;29;47;1;3;1
32;22;39;25;3;7;12;1
46;39;16;20;4;2;5;1
15;27;13;21;17;2;3;1
45;10;6;30;41;4;11;1
28;50;48;29;14;2;8;1
6;40;37;28;12;1;5;1
27;1;7;11;45;4;9;1
6;11;23;31;32;2;12;1
38;27;21;28;26;9;11;1
28;23;5;11;17;10;11;1
47;10;5;33;34;10;2;1
3;12;27;32;47;6;8;1
42;7;15;36;48;3;7;1
38;49;3;22;23;2;9;1
5;9;47;49;50;8;9;1
7;11;12;48;44;3;7;1
6;10;20;29;37;1;9;1
23;43;10;19;16;2;8;1
28;15;21;3;20;1;5;1
48;9;23;20;44;8;10;1
2;25;17;21;27;6;9;1
31;34;19;7;13;1;11;1
12;37;20;24;5;4;11;1
12;30;27;20;2;11;9;1
4;38;7;14;34;4;11;1
35;44;17;37;43;2;10;1
6;9;13;39;41;2;12;1
14;39;42;49;16;3;9;1
45;41;4;1;10;9;6;1
32;5;22;8;14;2;11;1
44;16;4;7;35;1;3;1
28;4;11;17;15;1;3;1
45;12;34;24;30;7;10;1
50;40;16;32;8;2;11;1
29;42;13;16;35;6;8;1
48;9;30;28;1;7;8;1
2;31;45;37;23;4;8;1
22;6;5;25;34;5;7;1
34;37;46;26;2;4;8;1
15;50;36;2;28;2;11;1
19;43;44;12;45;5;10;1
19;16;24;37;35;2;7;1
27;46;38;2;8;2;6;1
40;26;50;1;21;2;4;1
13;49;10;45;3;2;11;1
26;45;24;7;37;5;9;1
24;37;19;28;36;3;6;1
2;11;14;13;21;1;8;1
26;3;41;33;7;2;10;1
12;18;8;44;33;8;4;1
38;29;10;48;1;3;4;1
11;50;13;40;2;1;10;1
43;37;32;26;49;4;5;1
11;19;39;28;27;3;10;1
32;35;17;49;5;1;5;1
43;1;18;27;7;4;8;1
13;50;42;39;34;9;11;1
21;35;42;14;43;7;9;1
26;49;19;45;35;2;5;1
7;31;39;23;33;6;10;1
6;30;26;48;12;6;7;1
46;27;13;43;25;4;8;1
37;17;34;16;23;6;9;1
41;9;30;14;45;4;9;1
32;27;39;36;15;3;10;1
31;28;42;15;7;10;11;1
40;2;26;27;49;5;10;1
45;48;40;34;32;1;10;1
23;34;8;24;38;3;7;1
4;25;28;5;43;6;11;1
10;42;17;32;31;2;5;1
32;43;26;34;17;2;10;1
27;14;44;15;11;2;7;1
13;32;37;14;48;1;7;1
9;1;5;22;38;2;10;1
43;8;49;6;26;6;10;1
3;19;40;9;5;2;5;1
23;25;2;49;16;6;9;1
4;25;19;36;1;3;11;1
43;36;12;42;19;5;8;1
15;49;12;26;42;5;8;1
14;49;21;19;24;5;11;1
7;10;5;44;34;2;10;1
26;43;1;21;40;6;9;1
